"id","created_at","json_response"
2067,2023-05-17 10:33:43.982 -0300,"{""id"":""OA84PV"" , ""amount"":""1803.77"" , ""cache-control"":""1""}"
2070,2023-05-17 10:39:47.105 -0300,"{""id"":""9D3YHS"" , ""amount"":""1016.25"" , ""cache-control"":""1""}"
2074,2023-05-17 10:42:59.955 -0300,"{""id"":""RWI48K"" , ""amount"":""1188.68"" , ""cache-control"":""1""}"
2079,2023-05-17 10:46:57.770 -0300,"{""id"":""G8H2PG"" , ""amount"":""845.32"" , ""cache-control"":""1""}"
2082,2023-05-17 10:47:40.810 -0300,"{""id"":""A11QE6"" , ""amount"":""1265.19"" , ""cache-control"":""1""}"
2084,2023-05-17 10:49:50.546 -0300,"{""id"":""DWBNI9SLL"" , ""amount"":""483.76"" , ""cache-control"":""1""}"
2085,2023-05-17 10:50:45.742 -0300,"{""id"":""WRDZ1I"" , ""amount"":""476.97"" , ""cache-control"":""1""}"
2098,2023-05-17 11:22:33.896 -0300,"{""id"":""CREJFL"" , ""amount"":""289.28"" , ""cache-control"":""1""}"
2104,2023-05-17 11:39:31.385 -0300,"{""id"":""W4Z4II"" , ""amount"":""3318.28"" , ""cache-control"":""1""}"
2109,2023-05-17 11:50:36.673 -0300,"{""id"":""ZZQ2KG"" , ""amount"":""241.34"" , ""cache-control"":""1""}"
2112,2023-05-17 12:00:35.410 -0300,"{""id"":""CVZETP"" , ""amount"":""624.21"" , ""cache-control"":""1""}"
2115,2023-05-17 12:10:24.828 -0300,"{""id"":""1DPNNX"" , ""amount"":""22.41"" , ""cache-control"":""1""}"
2121,2023-05-17 12:26:03.496 -0300,"{""id"":""BK8YJP"" , ""amount"":""322.64"" , ""cache-control"":""1""}"
2123,2023-05-17 12:32:09.690 -0300,"{""id"":""ME8XZY"" , ""amount"":""1265.19"" , ""cache-control"":""1""}"
2135,2023-05-17 12:48:50.743 -0300,"{""id"":""IQCTLO"" , ""amount"":""1146.99"" , ""cache-control"":""1""}"
2138,2023-05-17 12:51:42.645 -0300,"{""id"":""XBAXWJ"" , ""amount"":""1265.19"" , ""cache-control"":""1""}"
2144,2023-05-17 13:02:17.598 -0300,"{""id"":""J3RUVJ"" , ""amount"":""5834.00"" , ""cache-control"":""1""}"
2145,2023-05-17 13:07:18.749 -0300,"{""id"":""OHGPA5"" , ""amount"":""1265.19"" , ""cache-control"":""1""}"
2146,2023-05-17 13:08:02.342 -0300,"{""id"":""J9PAY1"" , ""amount"":""4827.29"" , ""cache-control"":""1""}"
2149,2023-05-17 13:14:24.670 -0300,"{""id"":""H8WO5B"" , ""amount"":""1619.85"" , ""cache-control"":""1""}"
2151,2023-05-17 13:15:35.571 -0300,"{""id"":""81V3VM"" , ""amount"":""267.67"" , ""cache-control"":""1""}"
2158,2023-05-17 13:28:54.428 -0300,"{""id"":""CT2LGQ"" , ""amount"":""267.90"" , ""cache-control"":""1""}"
2159,2023-05-17 13:32:11.796 -0300,"{""id"":""LZ2FJJ"" , ""amount"":""86.92"" , ""cache-control"":""1""}"
2165,2023-05-17 13:43:14.138 -0300,"{""id"":""6IP89HSLL"" , ""amount"":""870.40"" , ""cache-control"":""1""}"
2169,2023-05-17 13:49:59.722 -0300,"{""id"":""CJ01ZP"" , ""amount"":""853.92"" , ""cache-control"":""1""}"
2172,2023-05-17 13:52:17.719 -0300,"{""id"":""YYVBCZSLL"" , ""amount"":""162.18"" , ""cache-control"":""1""}"
